Wavelength,Flux,eFlux
2164.5,2.12564596895167E-14,7.42914782301225E-16
2165.9,2.0164829805319E-14,7.3685017183346E-16
2167.4,1.97403070725754E-14,7.30785561365695E-16
2168.8,2.02557989623354E-14,7.27753256131812E-16
2170.2,2.09229061137896E-14,7.3685017183346E-16
2171.7,2.07409677997567E-14,7.4897939276899E-16
2173.1,2.06499986427402E-14,7.58076308470638E-16
2174.6,2.12261366371779E-14,7.58076308470638E-16
2176,2.16203363175826E-14,7.52011698002873E-16
2177.5,2.1195813584839E-14,7.4897939276899E-16
2178.9,2.06196755904014E-14,7.45947087535108E-16
2180.4,2.06499986427402E-14,7.45947087535108E-16
2181.9,2.0680321695079E-14,7.39882477067343E-16
2183.3,2.10138752708061E-14,7.3685017183346E-16
2184.8,2.08622600091119E-14,7.33817866599577E-16
2186.2,2.02254759099966E-14,7.27753256131812E-16
2187.7,2.11048444278226E-14,7.2472095089793E-16
2189.1,2.10441983231449E-14,7.2472095089793E-16
2190.6,2.01041837006413E-14,7.18656340430165E-16
2192.1,2.03164450670131E-14,7.12591729962399E-16
2193.5,2.02861220146743E-14,7.00462509026869E-16
2195,2.05590294857237E-14,7.03494814260752E-16
2196.4,2.01345067529801E-14,7.00462509026869E-16
2197.9,2.04074142240296E-14,6.91365593325222E-16
2199.4,2.02861220146743E-14,6.88333288091339E-16
2200.8,2.03770911716907E-14,6.79236372389691E-16
2202.3,2.01345067529801E-14,6.76204067155809E-16
2203.8,2.00132145436248E-14,6.76204067155809E-16
2205.3,2.03770911716907E-14,6.70139456688044E-16
2206.7,2.02861220146743E-14,6.70139456688044E-16
2208.2,2.01041837006413E-14,6.64074846220279E-16
2209.7,2.02557989623354E-14,6.64074846220279E-16
2211.1,2.02861220146743E-14,6.64074846220279E-16
2212.6,2.01041837006413E-14,6.54977930518631E-16
2214.1,2.01041837006413E-14,6.51945625284748E-16
2215.6,2.00132145436248E-14,6.48913320050866E-16
2217,2.04377372763684E-14,6.45881014816983E-16
2218.5,2.04377372763684E-14,6.42848709583101E-16
2220,2.05893525380625E-14,6.42848709583101E-16
2221.5,2.0164829805319E-14,6.33751793881453E-16
2223,1.96796609678978E-14,7.18656340430165E-16
2224.4,1.98615992819307E-14,7.03494814260752E-16
2225.9,2.02557989623354E-14,6.27687183413688E-16
2227.4,2.00738606483025E-14,6.21622572945923E-16
2228.9,2.0498383381046E-14,6.24654878179806E-16
2230.4,2.10138752708061E-14,6.21622572945923E-16
2231.9,2.03164450670131E-14,6.15557962478158E-16
2233.4,2.00738606483025E-14,6.15557962478158E-16
2234.9,2.03164450670131E-14,6.15557962478158E-16
2236.3,2.00738606483025E-14,6.09493352010393E-16
2237.8,1.97706301249142E-14,6.03428741542628E-16
2239.3,2.02254759099966E-14,5.9433182584098E-16
2240.8,1.99525684389472E-14,5.91299520607097E-16
2242.3,2.04680603287072E-14,5.97364131074863E-16
2243.8,2.01345067529801E-14,5.91299520607097E-16
2245.3,2.00738606483025E-14,5.88267215373215E-16
2246.8,1.94067534968483E-14,5.88267215373215E-16
2248.3,1.99525684389472E-14,5.88267215373215E-16
2249.8,1.99222453866084E-14,5.85234910139332E-16
2251.3,1.98919223342695E-14,5.79170299671567E-16
2252.8,2.01345067529801E-14,5.79170299671567E-16
2254.3,1.97099840202366E-14,5.76137994437685E-16
2255.8,1.95280457062036E-14,5.76137994437685E-16
2257.3,1.95886918108813E-14,5.73105689203802E-16
2258.8,1.97099840202366E-14,5.73105689203802E-16
2260.3,1.97706301249142E-14,5.7007338396992E-16
2261.8,1.97099840202366E-14,5.64008773502155E-16
2263.3,1.96796609678978E-14,5.60976468268272E-16
2264.8,1.98009531772531E-14,5.57944163034389E-16
2266.4,1.98009531772531E-14,5.54911857800507E-16
2267.9,1.99525684389472E-14,5.54911857800507E-16
2269.4,2.04074142240296E-14,5.76137994437685E-16
2270.9,1.96493379155589E-14,5.54911857800507E-16
2272.4,2.02557989623354E-14,5.60976468268272E-16
2273.9,2.01345067529801E-14,5.48847247332742E-16
2275.4,2.03770911716907E-14,5.42782636864977E-16
2277,1.98615992819307E-14,4.12393511808027E-16
2278.5,2.01345067529801E-14,3.88135069936967E-16
2280,2.00132145436248E-14,3.88135069936967E-16
2281.5,2.02861220146743E-14,3.85102764703084E-16
2283,1.98919223342695E-14,3.85102764703084E-16
2284.6,1.9467399601526E-14,3.79038154235319E-16
2286.1,1.98615992819307E-14,3.72973543767554E-16
2287.6,1.9982891491286E-14,3.72973543767554E-16
2289.1,1.96493379155589E-14,3.72973543767554E-16
2290.7,2.01951528576578E-14,3.69941238533671E-16
2292.2,1.97403070725754E-14,3.63876628065906E-16
2293.7,2.0164829805319E-14,3.66908933299789E-16
2295.2,2.01041837006413E-14,3.63876628065906E-16
2296.8,1.99525684389472E-14,3.60844322832024E-16
2298.3,2.00435375959637E-14,3.57812017598141E-16
2299.8,2.00132145436248E-14,3.57812017598141E-16
2301.4,2.01041837006413E-14,3.51747407130376E-16
2302.9,2.02557989623354E-14,3.51747407130376E-16
2304.4,2.00132145436248E-14,3.51747407130376E-16
2306,1.95280457062036E-14,3.45682796662611E-16
2307.5,1.98312762295919E-14,3.39618186194846E-16
2309.1,1.98615992819307E-14,3.42650491428728E-16
2310.6,2.03467681193519E-14,3.45682796662611E-16
2312.1,2.04680603287072E-14,3.45682796662611E-16
2313.7,2.0164829805319E-14,3.36585880960963E-16
2315.2,2.03770911716907E-14,3.36585880960963E-16
2316.8,1.9982891491286E-14,3.33553575727081E-16
2318.3,1.98312762295919E-14,3.33553575727081E-16
2319.9,2.00132145436248E-14,3.30521270493198E-16
2321.4,2.04074142240296E-14,3.30521270493198E-16
2323,2.0498383381046E-14,3.27488965259316E-16
2324.5,2.02254759099966E-14,3.27488965259316E-16
2326.1,2.04074142240296E-14,3.24456660025433E-16
2327.6,2.06196755904014E-14,3.24456660025433E-16
2329.2,2.03164450670131E-14,3.24456660025433E-16
2330.7,1.99222453866084E-14,3.18392049557668E-16
2332.3,1.99222453866084E-14,3.15359744323785E-16
2333.8,1.98615992819307E-14,3.60844322832024E-16
2335.4,1.98009531772531E-14,3.15359744323785E-16
2336.9,1.94067534968483E-14,3.12327439089903E-16
2338.5,1.98615992819307E-14,3.12327439089903E-16
2340.1,1.97099840202366E-14,3.0929513385602E-16
2341.6,1.98615992819307E-14,3.12327439089903E-16
2343.2,1.96190148632201E-14,3.06262828622138E-16
2344.7,1.96493379155589E-14,3.0929513385602E-16
2346.3,1.95886918108813E-14,3.01714370771314E-16
2347.9,1.98009531772531E-14,3.00501448677761E-16
2349.4,1.93461073921707E-14,2.95649760303549E-16
2351,1.96190148632201E-14,2.95649760303549E-16
2352.6,1.94067534968483E-14,2.9201099402289E-16
2354.1,1.92551382351542E-14,3.00198218154373E-16
2355.7,1.93764304445095E-14,2.94133607686607E-16
2357.3,1.96796609678978E-14,2.96559451873714E-16
2358.9,1.94067534968483E-14,2.93830377163219E-16
2360.4,1.95583687585425E-14,2.89888380359172E-16
2362,1.95583687585425E-14,2.88978688789007E-16
2363.6,1.97099840202366E-14,2.93223916116443E-16
2365.2,1.94370765491872E-14,2.89281919312395E-16
2366.7,1.93461073921707E-14,2.88372227742231E-16
2368.3,1.93461073921707E-14,2.9716591292049E-16
2369.9,1.94067534968483E-14,2.86552844601901E-16
2371.5,1.89519077117659E-14,3.24456660025433E-16
2373,1.93157843398319E-14,2.86856075125289E-16
2374.6,1.93157843398319E-14,2.81701156227689E-16
