runName,DataFile,LineFile,redshift,N_Fits,ContiWindows,LineWindows,useBalmer,useFe,Fe_uv,Fe_opt,lineShift,smoothStddev,clipStddev,clipBoxWidth,clipBufferWidth,plotWindow,lineComplexInd
g1557032-074134_6dFGS,data/g1557032-074134_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.081524,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1037038-112625_WiFeS,data/g1037038-112625_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.051586,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1037038-112625_6dFGS,data/g1037038-112625_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.051586,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1238285-490138_WiFeS,data/g1238285-490138_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.028032,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1238285-490138_6dFGS,data/g1238285-490138_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.028032,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0418562-023322_WiFeS,data/g0418562-023322_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.017349,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0418562-023322_6dFGS,data/g0418562-023322_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.017349,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1724226-131446_WiFeS,data/g1724226-131446_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.092084,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1724226-131446_6dFGS,data/g1724226-131446_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.092084,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2125407-490938_WiFeS,data/g2125407-490938_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.074351,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2125407-490938_6dFGS,data/g2125407-490938_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.074351,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0643397-412030_WiFeS,data/g0643397-412030_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.036006,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0643397-412030_6dFGS,data/g0643397-412030_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.036006,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
